CityName,CityId,Sunrise_local_time,Sunset_local_time,Country,Time_of_record,Wind_speed,Wind_direction,Temperature,Feels_like,Mininum_temperature,Maximum_temperature,Pressure,Humidity,Base,Weather_description,Longitude,latitude
Kaura Namoda,2334756,2023-12-11 06:44:53,2023-12-11 18:08:51,NG,2023-12-11 06:28:52,5.32,75,16.65,15.18,16.65,16.65,1015,31,stations,clear sky,6.5779,12.5898
Damaturu,2345521,2023-12-11 06:21:51,2023-12-11 17:48:48,NG,2023-12-11 06:28:52,4.35,22,15.42,13.85,15.42,15.42,1015,32,stations,clear sky,11.9608,11.747
Jalingo,2336589,2023-12-11 06:19:14,2023-12-11 17:56:10,NG,2023-12-11 06:27:13,2.14,57,20.82,19.69,20.82,20.82,1013,28,stations,clear sky,11.3667,8.8833
Sokoto,2322911,2023-12-11 06:51:05,2023-12-11 18:13:22,NG,2023-12-11 06:28:53,6.52,76,17.67,16.25,17.67,17.67,1014,29,stations,clear sky,5.239,13.0609
Port Harcourt,2324774,2023-12-11 06:29:37,2023-12-11 18:20:37,NG,2023-12-11 06:28:53,1.26,250,24.1,24.76,24.1,24.1,1010,84,stations,broken clouds,7.0134,4.7774
Jos,2335953,2023-12-11 06:30:54,2023-12-11 18:04:15,NG,2023-12-11 06:28:53,3.11,66,13.57,11.95,13.57,13.57,1016,37,stations,clear sky,8.9,9.9167
Ibadan,2339354,2023-12-11 06:46:33,2023-12-11 18:28:38,NG,2023-12-11 06:24:33,1.54,270,25.94,26.91,25.94,25.94,1011,89,stations,few clouds,3.8964,7.3878
Ilesha,2326168,2023-12-11 06:40:41,2023-12-11 18:23:37,NG,2023-12-11 06:28:54,1.36,333,21.49,21.08,21.49,21.49,1011,53,stations,clear sky,5.2583,7.1371
Akure,2350841,2023-12-11 06:41:08,2023-12-11 18:23:41,NG,2023-12-11 06:28:54,1.23,334,20.75,20.0,20.75,20.75,1011,43,stations,clear sky,5.1931,7.2526
Abeokuta,2352947,2023-12-11 06:48:20,2023-12-11 18:31:14,NG,2023-12-11 06:26:54,0.94,294,23.78,24.64,23.78,23.78,1010,93,stations,clear sky,3.35,7.15
Minna,2330100,2023-12-11 06:39:45,2023-12-11 18:14:09,NG,2023-12-11 06:28:54,4.81,51,21.94,20.76,21.94,21.94,1011,22,stations,clear sky,6.5569,9.6139
Nasarawa,2329451,2023-12-11 06:33:12,2023-12-11 18:11:21,NG,2023-12-11 06:28:54,2.07,31,23.18,22.52,23.18,23.18,1011,37,stations,scattered clouds,7.7242,8.5294
Mushin,2332459,2023-12-11 06:47:14,2023-12-11 18:32:16,NG,2023-12-11 06:28:55,2.06,310,26.1,26.1,26.1,26.1,1011,94,stations,scattered clouds,3.3571,6.5263
Ilorin,2337639,2023-12-11 06:45:51,2023-12-11 18:24:06,NG,2023-12-11 06:28:55,2.34,28,21.71,20.56,21.71,21.71,1012,24,stations,clear sky,4.55,8.5
Lokoja,2331939,2023-12-11 06:35:53,2023-12-11 18:16:32,NG,2023-12-11 06:28:55,0.62,358,24.74,24.31,24.74,24.74,1010,40,stations,clear sky,6.743,7.8024
Gwandu,2339811,2023-12-11 06:52:28,2023-12-11 18:16:46,NG,2023-12-11 06:28:55,6.57,80,18.68,17.28,18.68,18.68,1013,26,stations,clear sky,4.6423,12.4938
Katsina,2334802,2023-12-11 06:41:30,2023-12-11 18:04:03,NG,2023-12-11 06:24:36,5.92,64,14.44,12.78,14.44,14.44,1016,32,stations,clear sky,7.6006,12.9894
Kano,2335204,2023-12-11 06:36:05,2023-12-11 18:02:08,NG,2023-12-11 06:28:55,4.12,50,13.94,12.8,13.94,13.94,1018,54,stations,clear sky,8.5167,12.0001
Dutse,2344245,2023-12-11 06:32:22,2023-12-11 17:59:16,NG,2023-12-11 06:28:56,3.11,35,14.19,12.58,14.19,14.19,1016,35,stations,few clouds,9.3392,11.7594
Owerri,2325330,2023-12-11 06:30:45,2023-12-11 18:19:21,NG,2023-12-11 06:28:56,1.44,178,23.87,24.74,23.87,23.87,1010,93,stations,light rain,7.0304,5.4833
Gombe,2340451,2023-12-11 06:22:29,2023-12-11 17:54:32,NG,2023-12-11 06:27:10,4.59,27,18.1,16.85,18.1,18.1,1014,34,stations,clear sky,11.1673,10.2897
Abuja,2352778,2023-12-11 06:35:03,2023-12-11 18:11:23,NG,2023-12-11 06:27:12,2.77,41,22.08,20.89,22.08,22.08,1012,21,stations,clear sky,7.4898,9.0574
Nsukka,2328684,2023-12-11 06:31:39,2023-12-11 18:15:33,NG,2023-12-11 06:28:56,0.46,153,22.04,22.08,22.04,22.04,1011,68,stations,clear sky,7.3927,6.8561
Ado-Ekiti,2352379,2023-12-11 06:41:39,2023-12-11 18:22:56,NG,2023-12-11 06:28:57,1.6,10,20.71,19.59,20.71,20.71,1011,29,stations,few clouds,5.2215,7.621
